@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_MAG_V numeric
@attribute F5_PeakToPeak_on_ACC_X numeric
@attribute F6_PeakToPeak_on_ACC_Y numeric
@attribute F7_PeakToPeak_on_ACC_Z numeric
@attribute F8_PeakToPeak_on_MAG_V numeric
@attribute F9_MIN_on_ACC_X numeric
@attribute F10_MIN_on_ACC_Y numeric
@attribute F11_MIN_on_ACC_Z numeric
@attribute F12_MIN_on_MAG_V numeric
@attribute F13_MAX_on_ACC_X numeric
@attribute F14_MAX_on_ACC_Y numeric
@attribute F15_MAX_on_ACC_Z numeric
@attribute F16_MAX_on_MAG_V numeric
@attribute class {down_horizontally, down_vertically, up_horizontally, up_vertically}

@data
-0.078125, 0.262207, 1.05664, 0, 0, 0, 0, 0, -0.0779419, 0.261963, 1.05566, 0, -0.0779419, 0.261963, 1.05566, 0, down_horizontally
-0.0726318, 0.31543, 0.834961, 0, 0.00598145, 0.0588379, 0.246094, 0, -0.0779419, 0.261963, 0.80957, 0, -0.0719604, 0.320801, 1.05566, 0, down_horizontally
-0.0720215, 0.321289, 0.810059, 0, 0, 0, 0, 0, -0.0719604, 0.320801, 0.80957, 0, -0.0719604, 0.320801, 0.80957, 0, down_horizontally
-0.0720215, 0.321289, 0.810059, 0, 0, 0, 0, 0, -0.0719604, 0.320801, 0.80957, 0, -0.0719604, 0.320801, 0.80957, 0, down_horizontally
-0.117676, 0.259521, 0.845215, 0, 0.0650024, 0.0878906, 0.050293, 0, -0.136963, 0.23291, 0.80957, 0, -0.0719604, 0.320801, 0.859863, 0, down_horizontally
-0.137085, 0.233398, 0.86084, 0, 0, 0, 0, 0, -0.136963, 0.23291, 0.859863, 0, -0.136963, 0.23291, 0.859863, 0, down_horizontally
-0.137085, 0.233398, 0.86084, 0, 0, 0, 0, 0, -0.136963, 0.23291, 0.859863, 0, -0.136963, 0.23291, 0.859863, 0, down_horizontally
-0.148315, 0.17041, 0.938965, 0, 0.0219727, 0.125977, 0.153809, 0, -0.158936, 0.106995, 0.859863, 0, -0.136963, 0.23291, 1.01367, 0, down_horizontally
-0.15918, 0.107117, 1.01563, 0, 0, 0, 0, 0, -0.158936, 0.106995, 1.01367, 0, -0.158936, 0.106995, 1.01367, 0, down_horizontally
-0.15918, 0.107117, 1.01563, 0, 0, 0, 0, 0, -0.158936, 0.106995, 1.01367, 0, -0.158936, 0.106995, 1.01367, 0, down_horizontally
-0.144897, 0.0752563, 1.00684, 0, 0.0479736, 0.106018, 0.0327148, 0, -0.158936, 0.000999451, 0.980957, 0, -0.110962, 0.106995, 1.01367, 0, down_horizontally
-0.111023, 0.0010004, 0.982422, 0, 0, 0, 0, 0, -0.110962, 0.000999451, 0.980957, 0, -0.110962, 0.000999451, 0.980957, 0, down_horizontally
-0.111023, 0.0010004, 0.982422, 0, 0, 0, 0, 0, -0.110962, 0.000999451, 0.980957, 0, -0.110962, 0.000999451, 0.980957, 0, down_horizontally
-0.111816, -0.0124054, 0.978516, 0, 0.00701904, 0.133911, 0.0351563, 0, -0.117981, -0.132935, 0.945801, 0, -0.110962, 0.000999451, 0.980957, 0, down_horizontally
-0.118164, -0.133057, 0.946777, 0, 0, 0, 0, 0, -0.117981, -0.132935, 0.945801, 0, -0.117981, -0.132935, 0.945801, 0, down_horizontally
-0.118164, -0.133057, 0.946777, 0, 0, 0, 0, 0, -0.117981, -0.132935, 0.945801, 0, -0.117981, -0.132935, 0.945801, 0, down_horizontally
-0.118164, -0.133057, 0.946777, 0, 0, 0, 0, 0, -0.117981, -0.132935, 0.945801, 0, -0.117981, -0.132935, 0.945801, 0, down_horizontally
-0.067688, -0.344727, 1.06641, 0, 0.0559998, 0.234985, 0.132324, 0, -0.117981, -0.36792, 0.945801, 0, -0.0619812, -0.132935, 1.07813, 0, down_horizontally
-0.0620728, -0.368164, 1.0791, 0, 0, 0, 0, 0, -0.0619812, -0.36792, 1.07813, 0, -0.0619812, -0.36792, 1.07813, 0, down_horizontally
-0.0620728, -0.368164, 1.0791, 0, 0, 0, 0, 0, -0.0619812, -0.36792, 1.07813, 0, -0.0619812, -0.36792, 1.07813, 0, down_horizontally
-0.0908203, -0.374756, 1.01953, 0, 0.0409851, 0.0090332, 0.0844727, 0, -0.102966, -0.376953, 0.993652, 0, -0.0619812, -0.36792, 1.07813, 0, down_horizontally
-0.103149, -0.377441, 0.994629, 0, 0, 0, 0, 0, -0.102966, -0.376953, 0.993652, 0, -0.102966, -0.376953, 0.993652, 0, down_horizontally
-0.103149, -0.377441, 0.994629, 0, 0, 0, 0, 0, -0.102966, -0.376953, 0.993652, 0, -0.102966, -0.376953, 0.993652, 0, down_horizontally
-0.085022, -0.43335, 1.01855, 0, 0.0360107, 0.111816, 0.043457, 0, -0.102966, -0.48877, 0.993652, 0, -0.0669556, -0.376953, 1.03711, 0, down_horizontally
-0.0670166, -0.489258, 1.03906, 0, 0, 0, 0, 0, -0.0669556, -0.48877, 1.03711, 0, -0.0669556, -0.48877, 1.03711, 0, down_horizontally
-0.0670166, -0.489258, 1.03906, 0, 0, 0, 0, 0, -0.0669556, -0.48877, 1.03711, 0, -0.0669556, -0.48877, 1.03711, 0, down_horizontally
-0.0673218, -0.479004, 1.02637, 0, 0.0010376, 0.0339355, 0.0415039, 0, -0.0679932, -0.48877, 0.995605, 0, -0.0669556, -0.454834, 1.03711, 0, down_horizontally
-0.0680542, -0.455566, 0.99707, 0, 0, 0, 0, 0, -0.0679932, -0.454834, 0.995605, 0, -0.0679932, -0.454834, 0.995605, 0, down_horizontally
-0.0680542, -0.455566, 0.99707, 0, 0, 0, 0, 0, -0.0679932, -0.454834, 0.995605, 0, -0.0679932, -0.454834, 0.995605, 0, down_horizontally
-0.0717163, -0.445801, 0.994629, 0, 0.0359497, 0.098877, 0.0249023, 0, -0.103943, -0.454834, 0.970703, 0, -0.0679932, -0.355957, 0.995605, 0, down_horizontally
-0.104126, -0.356445, 0.972656, 0, 0, 0, 0, 0, -0.103943, -0.355957, 0.970703, 0, -0.103943, -0.355957, 0.970703, 0, down_horizontally
-0.104126, -0.356445, 0.972656, 0, 0, 0, 0, 0, -0.103943, -0.355957, 0.970703, 0, -0.103943, -0.355957, 0.970703, 0, down_horizontally
-0.104126, -0.356445, 0.972656, 0, 0, 0, 0, 0, -0.103943, -0.355957, 0.970703, 0, -0.103943, -0.355957, 0.970703, 0, down_horizontally
-0.123047, -0.262695, 1.02246, 0, 0.0210571, 0.104004, 0.0556641, 0, -0.125, -0.355957, 0.970703, 0, -0.103943, -0.251953, 1.02637, 0, down_horizontally
-0.125122, -0.252197, 1.02734, 0, 0, 0, 0, 0, -0.125, -0.251953, 1.02637, 0, -0.125, -0.251953, 1.02637, 0, down_horizontally
-0.125122, -0.252197, 1.02734, 0, 0, 0, 0, 0, -0.125, -0.251953, 1.02637, 0, -0.125, -0.251953, 1.02637, 0, down_horizontally
-0.153198, -0.137939, 1.04199, 0, 0.039917, 0.162964, 0.0185547, 0, -0.164917, -0.251953, 1.02637, 0, -0.125, -0.0889893, 1.04492, 0, down_horizontally
-0.165161, -0.0891113, 1.04688, 0, 0, 0, 0, 0, -0.164917, -0.0889893, 1.04492, 0, -0.164917, -0.0889893, 1.04492, 0, down_horizontally
-0.165161, -0.0891113, 1.04688, 0, 0, 0, 0, 0, -0.164917, -0.0889893, 1.04492, 0, -0.164917, -0.0889893, 1.04492, 0, down_horizontally
-0.144165, 0.0214539, 1.03906, 0, 0.0419312, 0.220947, 0.015625, 0, -0.164917, -0.0889893, 1.0293, 0, -0.122986, 0.131958, 1.04492, 0, down_horizontally
-0.123169, 0.13208, 1.03125, 0, 0, 0, 0, 0, -0.122986, 0.131958, 1.0293, 0, -0.122986, 0.131958, 1.0293, 0, down_horizontally
